,0,1,2,3,4
95,0.32273522,-1.2669406,0.14960201,-1.2844287,0.30800706
96,0.15960124,-1.2177019,0.021145705,-1.2887536,0.30365214
97,0.2223469,-1.2503825,0.08697846,-1.2978833,0.26785973
98,0.29016152,-1.1611707,-0.011538507,-1.2937027,0.2784674
99,0.14770384,-1.2953798,0.029714048,-1.2984617,0.25768864
100,0.14997551,-1.2887194,-0.0073859156,-1.3156103,0.3750937
101,0.27516297,-1.3128012,-0.05558202,-1.1450708,0.41625342
102,0.17487027,-1.2561134,-0.024431445,-1.2068717,0.2992811
103,0.3445344,-1.3428589,0.14576174,-1.2382631,0.45324463
104,0.251232,-1.2164192,0.052595958,-1.2037135,0.3575783
105,0.3262376,-1.2007463,0.034065068,-1.2613312,0.3993379
106,0.30804977,-1.2054099,0.07638164,-1.2378736,0.4109811
107,0.13109942,-1.1731349,0.09951908,-1.3564801,0.40252584
108,0.24887577,-1.2777961,-0.025919646,-1.3038234,0.3617842
109,0.14802212,-1.2533991,-0.024078464,-1.2982893,0.32279643
110,0.3266004,-1.2553711,0.070011966,-1.2697806,0.24685192
111,0.27119106,-1.244576,0.013963582,-1.3217585,0.26823312
112,0.34227148,-1.1971953,0.023951232,-1.3520161,0.42532414
113,0.30992,-1.1442561,-0.0054629743,-1.2126619,0.3190442
114,0.26242006,-1.2401794,0.050746135,-1.2359056,0.26943022
115,0.27251816,-1.2110223,0.111118324,-1.2177123,0.2624384
116,0.1655629,-1.2186629,0.017732477,-1.3462361,0.2973517
117,0.16970792,-1.3231848,0.09263159,-1.1802912,0.36000466
118,0.2623861,-1.3055093,0.12378285,-1.1661516,0.3248278
119,0.19935131,-1.2707374,0.08315882,-1.3540492,0.31997877
120,0.21509315,-1.1605535,0.1030507,-1.2691511,0.29791293
121,0.15543498,-1.3083528,0.105558015,-1.2909441,0.32958877
122,0.16485745,-1.1949687,0.04852891,-1.2634563,0.42502022
123,0.27953988,-1.1763846,0.1204295,-1.2166823,0.40822887
124,0.29576772,-1.1824757,0.048880924,-1.375318,0.4542247
125,0.23582952,-1.2122415,0.025254715,-1.233571,0.3488833
126,0.2719166,-1.307225,0.100496285,-1.2772774,0.33259878
127,0.17460735,-1.2285268,-0.03682934,-1.2131629,0.35378084
128,0.29619777,-1.1686788,0.10834218,-1.2867095,0.3560692
129,0.2578316,-1.1300362,0.101113334,-1.3124584,0.4268684
130,0.17131583,-1.1740575,0.049181048,-1.1939187,0.3878235
131,0.24478993,-1.1854268,0.121086895,-1.2023848,0.27714017
132,0.18843006,-1.1275059,0.055024993,-1.2734898,0.29009572
133,0.27790838,-1.1730676,0.09245474,-1.2849809,0.35744947
134,0.16115627,-1.1713467,0.13512298,-1.2152358,0.41641998
135,0.31340924,-1.2536787,0.008789795,-1.2261609,0.26772937
136,0.19049323,-1.1871016,-0.05045044,-1.3207208,0.26304886
137,0.20113775,-1.2722467,-0.03651246,-1.2379916,0.34898457
138,0.32156846,-1.2750807,0.08443343,-1.1451273,0.43500903
